,pdbid,smiles
5193,3ans,c1c(ccc(c1)C(=O)N[C@@H]1[C@H](C1)c1ccccc1)C#N
9586,1hih,CC(=O)N[C@@H](C(C)C)C(=O)N[C@@H](Cc1ccccc1)[C@@H](O)C[N@H+](CC1CCCCC1)NC(=O)[C@@H](NC(=O)C)C(C)C
7652,3gz9,O=[C-](=O)COc1ccc(c(c1C)C)Sc1ccc(cc1OCC=C)COc1ccc(cc1)C(F)(F)F
9446,2r2m,[C+](=[NH2])(=[NH2])=[NH]OCCNC(=O)Cc1c(c(ccc1Cl)NCC(c1ccccc1)(F)F)F
9815,1uwf,C(C)CCO[C@@H]1[C@@H](O)[C@@H](O)[C@H](O)[C@H](O1)CO
3172,1y2d,O=C(OCC)c1c(C)nn(c1C)c1ccc(cc1)OC
338,4eke,N1(C(=O)Nc2c(C1)cc(o2)CCCCC)[C@H]1[C@H](O)[C@@H](O)[C@H](O)[C@H](O1)CO
10288,2jkh,O=C1N(CCC[N+](C)(C)C)C(=O)[C@@H]2[C@H]1[C@@H]([N@H+]1CCC[C@@H]21)c1cc(on1)c1ccc(s1)Cl
8144,2az5,FC(F)(F)c1cc(ccc1)n1cc(c2c1cccc2)C[N@H+](C)CC[N@@H+](C)Cc1coc2c(cc(c(c2)C)C)c1=O
10819,2uwo,Clc1ccc(/C(=C/S(=O)(=O)N[C@H]2CCN(C2=O)[C@@H](C)C(=O)N2CCOCC2)/C)s1
2640,3avf,N1[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C1=O)C[C-](=O)=O)CC(C)C)CC(=O)N)C[C-](=O)=O)[C@H](CC)C)CCCC[NH3+])CC(C)C)C[C-](=O)=O
6059,3ecn,n1c[nH]c2c1n(c(=O)n(c2=O)C)CC(C)C
4524,4b7q,[C-](=O)(=O)[C@@H]1C[C@@H]([C@@H](NC(=O)C)[C@@H](O1)[C@H](O)[C@H](O)CO)[NH]=[C+](=[NH2])=[NH2]
456,1l5r,N1C(=O)NC(=O)C2[N]C3CC(C)C(C)CC3N(C12)C[C@H](O)[C@H](O)[C@H](O)CO
9668,2ovv,c1c(c(OC)cc2c([n]c[n]c12)N1C[C@@H](CC1)Oc1ccc2ccccc2c1)OC
7074,4qz1,C(=O)(C[NH+]1CCOCC1)N[C@H](C(=O)N[C@@H](Cc1ccc(OC)cc1)C(=O)N[C@H]([C@@H](O)[C@H](C)CO)Cc1ccccc1)C
10036,1ypj,[NH2]=[C+](=[NH2])c1ccc([C@H]2[C@@H]3[C@H](C(C)(C)[N@@H+]2C)[C@H](N(Cc2ccc4c(c2)OCO4)C3=O)CC)cc1
3766,2c6i,O=S(=O)(N)c1ccc(cc1)Nc1n2c(nc(c1)OCC1CCCCC1)ncn2
3282,4gye,[NH3+][C@@H](CCC/[NH]=[C+](/[NH2])\C)C(=O)N[C@H](C(=O)N[C@H](C[NH2+][C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H]([C-](=O)=O)CCCC)C)CC[C-](=O)=O)Cc1ccccc1)Cc1ccccc1)C(C)C
3358,2xrw,[NH3+][C@H](C(=O)N1[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N2[C@H](C(=O)N[C@H](C(=O)N[C@H]([C-](=O)=O)CC[C-](=O)=O)CC(C)C)CCC2)CC(C)C)Cc2ccc(cc2)O)CC(C)C)Cc2nc[nH]c2)C[C-](=O)=O)CCC[NH]=[C+](=[NH2])=[NH2])CO)CCC1)C
10337,4tqn,O=[C-](=O)c1cccc(c1)C(=O)Nc1cc(C(=O)C)ccc1OCC
3637,3lco,c1cc(ccc1COc1c[n]c(cc1OC)COc1c(N)[n]cc(c2cnn(C)c2)[n]1)OC
10824,2uy3,n1(c(=O)c2c(n(c1=O)C)[nH]c(n2)Cl)C
1441,2bmv,c1(ccccc1)[C+](=[NH2])=[NH2]
5409,2yns,[NH3+][C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)NCC(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H]([C-](=O)=O)Cc1[nH]cnc1)CCC[NH]=[C+](=[NH2])=[NH2])CCCC[NH3+])CCC[NH]=[C+](=[NH2])=[NH2])CCCC[NH3+])CC(C)C)C(C)C)CO
10861,4iuo,[C@@]1(O)(C[C@@H](O)[C@@H](O)[C@H](O)C1)[C-](=O)=O
1126,3v7s,Cc1ccc2oc(=O)n(CCCCn3cc(CCCCC[C@@H]4SC[C@@H]5NC(=O)N[C@H]45)nn3)c2c1
3395,3nsh,CC(=O)N[C@H]([C@@H](C[NH2+]C1(c2cc(cs2)CC(C)(C)C)CC1)O)Cc1cc(cc(c1)F)F
9766,1bv9,O=C1N(Cc2cc(ccc2)C(=O)Nc2nccs2)[C@@H]([C@H](O)[C@@H](O)[C@H](N1Cc1cc(ccc1)C(=O)Nc1nccs1)Cc1ccccc1)Cc1ccccc1
822,4qfr,c1(C#N)c(=O)[nH]c2c(c(c(s2)Cl)c2ccc(cc2)c2c(cccc2)O)c1O
102,2lgf,[NH3+][C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)NCC(=O)N[C@H](C(=O)N[C@H]([C-](=O)=O)CCCC[NH3+])CCCC[NH3+])CCCC[NH3+])CCCC[NH3+])CC(C)C)CCC[NH]=[C+](=[NH2])=[NH2])CCC[NH]=[C+](=[NH2])=[NH2])C)CC(C)C)Cc1c[nH]c2c1cccc2)[C@H](CC)C)[C@H](CC)C)Cc1ccccc1)C
5528,1bl6,Fc1ccc(cc1)c1c(c2cc[n]cc2)n(cn1)CC1CC1
1415,4nmq,[NH3+][C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@@H](CCCCNC(=O)C)C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H]([C-](=O)=O)[C@H](CC)C)[C@H](CC)C)CO)[C@H](O)C)Cc1c[nH]c2c1cccc2)CCC[NH]=[C+](=[NH2])=[NH2])CO)CC(=O)N)C
2964,3sgx,O=[C-](=O)c1ccc(cc1[C-](=O)=O)Oc1cccc(c1)NC(=O)c1ccc(cc1)c1ccccc1
10115,4oc3,c1cc(I)ccc1C(=O)NCCCC[C@@H]([C-](=O)=O)NC(=O)N[C@H]([C-](=O)=O)Cc1ccco1
2615,3arn,O=c1[nH]c(=O)n(cc1)COCCCC(NS(=O)(=O)c1ccccc1)(C)C
9111,4bci,CNc1nc(C)c(c2[n]c(Nc3cc(S(=O)(=O)N)ccc3)[n]cc2C#N)s1
7154,4o4y,[NH2+]1[C@H](C(=O)N[C@H](C(=O)N2[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)NC[C-](=O)=O)CC(C)C)CC(C)C)CC[C-](=O)=O)CC=C2)C)CCC1
3347,2xow,O=Cc1cc(N)ccc1CC(=O)OC
7231,2viv,N1(CCCCC1)c1cc(Cl)cc(NC(=O)c2cc(C)c(OCC[NH3+])c(C)c2)c1
4543,4bbg,CCc1cccc(c1)[C@@](c1ccccc1)(SCC[NH3+])c1cccc(c1)O
7500,4ucs,C(=O)(N)n1c(nc(n1)c1occc1)N
10477,3ao5,c1c(cc(c2c1OCO2)Br)c1n(nc(c1)N)C
8067,1wbg,CSc1nnc([nH]1)c1ccc(Cl)cc1
2065,4a4l,[n]1c([n]c(cc1)c1n(cc(c1)C(=O)N)C)Nc1c(ccc(c1)N1CC[NH+](CC1)C)OC(F)(F)F
7335,4q9m,CC(C)c1ccc(cc1)NC(=O)c1c(C)onc1c1c(Cl)cccc1
6035,3qip,c1ccc2c(c1)c(c([nH]2)c1ccccc1)Cc1[n]c(c(c([n]1)O)O)[C-](=O)=O
10033,1yp9,[NH2]=[C+](=[NH2])c1ccc([C@H]2[C@H]3C(=O)N(Cc4ccc5OCOc5c4)C[C@H]3[C@@H]3CCC[N@H+]23)cc1
7037,3ft3,[NH3+][C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H]([C-](=O)=O)C)CC[C-](=O)=O)CC(C)C)CC(C)C)C[C-](=O)=O)C[C-](=O)=O)Cc1nc[nH]c1)CC(C)C)C(C)C
2710,2jkk,C1COCCN1c1cc(OC)c(cc1)Nc1[n]c(c(c[n]1)Cl)Nc1ccccc1C(=O)NC
11401,1ct8,FC(F)(F)C(=O)Nc1ccc(CP(=O)(=O)O[C@@H]([C@@H](CO)NC(=O)C(Cl)Cl)c2ccc(cc2)N(=O)=O)cc1
4185,3vp4,n1nc(N)sc1CC
374,3n5h,Clc1c2[nH]c(c(c2c(cc1)Cl)C[C-](=O)=O)[C-](=O)=O
6506,4p45,O=[C-](=O)CC[C@@H]([C-](=O)=O)NP(=O)(=O)OC[C@@H]([C-](=O)=O)NC(=O)[C@H](C(C)C)NC(=O)c1ccc(F)cc1
11422,4rrf,OC[C@H]1O[C@@H](n2c3[n]c[n]c(N)c3nc2)[C@H](O)[C@@H]1NC(=O)[C@@H]([NH3+])CO
10362,1o5r,c1n(cnc1C(=O)N)[C@@H](CO)CCn1ccc2c1cc(cc2)NC(=O)NCc1ccccc1
1951,3jpx,[NH3+][C@H](C(=O)N[C@H](C(=O)N[C@@H](CCCC[N+](C)(C)C)C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H]([C-](=O)=O)CCC[NH]=[C+](=[NH2])=[NH2])CC(C)C)C(C)C)CCC[NH]=[C+](=[NH2])=[NH2])Cc1nc[nH]c1
6095,2v0n,P1(=O)(=O)OC[C@@H]2O[C@H]([C@@H]([C@@H]2OP(=O)(=O)OC[C@H]2O[C@H]([C@@H]([C@@H]2O1)O)n1cnc2c(=O)[nH][c+](=[NH2])[nH]c12)O)n1cnc2c(=O)[nH][c+](=[NH2])[nH]c12
704,3twv,[NH3+][C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N1[C@H](C(=O)N[C@H](C(=O)NCC(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@@H](CO)C(=O)N)CCC[NH]=[C+](=[NH2])=[NH2])Cc2ccccc2)CO)CCC(=O)N)C[C-](=O)=O)CCC1)CCC(=O)N)[C@H](O)C)CCC[NH]=[C+](=[NH2])=[NH2])CCC(=O)N
3753,2c4g,O=C(N1Cc2c(n[nH]c2C1)NC(=O)c1ccccc1)C
11903,3e12,O=[P](=O)(=O)OC[C@@H](O)[C@@H](O)[C@H](O)[C@H](O)CC(=O)[C-](=O)=O
4401,4c1w,O=C(C)N[C@H]1[C@@H](O[C@](C[C@@H]1O)([C-](=O)=O)O[C@H]1[C@H]([C@H](O[C@H]([C@@H]1O)O[C@@H]1[C@H](O[C@@H]([C@@H]([C@H]1O)O)O)CO)CO)O)[C@H](O)[C@H](O)CO
8353,3wuv,[NH3+][C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)NCC(=O)N1[C@H](C(=O)N2[C@H](C(=O)N[C@H](C(=O)N3[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N4[C@H](C(=O)N5[C@H]([C-](=O)=O)CCC5)CCC4)[C@H](CC)C)Cc4ccc(cc4)O)[C@H](O)C)CCC3)Cc3ccc(cc3)O)CCC2)CCC1)CCC(=O)N)C)CCC(=O)N
5149,4eg5,[NH3+][C@H]([C-](=O)=O)CCSC
2939,1mau,[P](=O)(=O)(=O)OP(=O)(=O)OP(=O)(=O)OC[C@H]1O[C@H]([C@@H]([C@@H]1O)O)n1cnc2c(N)ncnc12
3981,4ybs,CC(C)COc1cc(ccc1)Oc1cc2n(C)c(=O)n(C)c2cc1NS(=O)(=O)c1cn(c(n1)C)C
4332,4ona,CCOc1cc2c(cc1)cc(c[n]2)c1nn(C(C)(C)C)c(N)c1C(=O)N
9686,4mjp,c1cc(C2CCCCC2)c2c(cccc2)c1[C@H]([C-](=O)=O)C
5900,1qvu,c1cc(cc2[n]c3cc(ccc3cc12)N)N
2382,4x13,[C-](=O)(=O)[C@]1(C[C@@H]([C@H]([C@H]([C@@H]([C@@H](CO)O)O)O1)NC(=O)C)O)OC[C@@H]1[C@@H]([C@@H]([C@H]([C@@H](O1)O[C@H]1[C@@H]([C@H]([C@@H](O[C@@H]1CO)O[C@@H]1[C@H]([C@@H](O[C@@H]([C@@H]1O)CO)O[C@H]1[C@@H]([C@H]([C@H](O)O[C@@H]1CO)O)O)O)NC(=O)C)O)O)O)O
589,3ddq,OC[C@@H](CC)Nc1[n]c2n(C(C)C)cnc2c([n]1)NCc1ccccc1
8773,1b5g,C(=O)([C@@H]1CC[C@@H]2CC[C@](C(=O)N12)([NH3+])Cc1ccccc1)N[C@H]([C@H](O)c1nc2ccccc2s1)CCC[NH]=[C+](=[NH2])=[NH2]
9830,1k1y,[C@H]1([C@@H]([C@H]([C@@H](C(=C1)CO)O)O)O)[NH2+][C@H]1[C@@H]([C@H]([C@H](O[C@@H]1C)O[C@H]1[C@@H]([C@H]([C@H](O[C@@H]1CO)O[C@H]1[C@@H]([C@H]([C@@H](O)O[C@@H]1CO)O)O)O)O)O)O
711,3tz2,C(CCc1ccccc1)[C-](=O)=O
2091,2h44,COc1ccc(cc1)c1oc2c(c(=O)c1O[C@@H]1O[C@H]([C@@H]([C@H]([C@H]1O)O)O)C)c(cc(c2CC=C(C)C)O)O
7160,4o71,C[N@H+]1CC[C@@H]([C@@H](C1)O)c1c2oc(cc(=O)c2c(O)cc1O)c1c(Cl)cccc1
11380,4djp,O=C(OC[C@H](C)C(=O)OC)N[C@@H](Cc1ccccc1)[C@H](O)CN(C[C@@H](C)CC)S(=O)(=O)c1ccc(cc1)OC
7235,2vj1,c1ccc(C=O)cc1
11875,4e81,[NH3+][C@H](C(=O)N1[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N2[C@H](C(=O)N[C@H](C(=O)N3[C@H](C(=O)N)CCC3)CCC[NH]=[C+](=[NH2])=[NH2])CCC2)[C@H](CC)C)Cc2ccc(cc2)O)C(C)C)CCC1)CCC[NH]=[C+](=[NH2])=[NH2]
728,3u4u,CC(=O)Nc1ccc2c(c1)c(cn2CC[C-](=O)=O)c1cc(n2c(n1)c(cn2)C#N)NC1CC1
6318,2wf3,O=C(c1cc2c(CCCS(=O)(=O)N2C)c(c1)NCC)N[C@@H](Cc1ccccc1)[C@H](O)C[NH2+]Cc1cc(OC)ccc1
9312,1ndy,c1n(cnc1C(=O)N)[C@@H](CO)CCc1cccc2c1cccc2
5748,2j7w,[P](=O)(=O)(=O)OP(=O)(=O)O[P](=O)(=O)=O
7549,3mvl,n12ncnc(c1c(c(c2)C(=O)NCCC)C)Nc1c(ccc(c1)C(=O)NC1CC1)C
3510,4mwc,O=C(Nc1ccsc1)NCCC[NH2+]Cc1c2ccccc2sc1C
476,4y5h,CC(C)NC(=O)N[C@@H]1CC[C@H](CC1)Nc1[n]cc2ccc(=O)n(C(C)C)c2[n]1
8100,4f70,O=C(Nc1cc(C(C)(C)C)nn1c1ccc(cc1)C)NCC[NH+]1CCOCC1
3697,1u9l,[NH3+][C@H](C(=O)N[C@H](C(=O)N1[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H]([C-](=O)=O)CC(C)C)CO)CC(C)C)[C@H](CC)C)CCC1)CCC[NH]=[C+](=[NH2])=[NH2])CC(=O)N
11318,4q08,Fc1c(SCCO)c(F)c(c(c1NC1CCCCCCC1)S(=O)(=O)N)F
8503,2w0j,[NH2]=[C+](=[NH2])=[N]=N[C@H](C)c1ccc(cc1)NC(=O)Nc1ccc(cc1)/C(=N/[NH]=[C+](=[NH2])=[NH2])/C
4548,4wmu,O=[C-](=O)c1[nH]c2cc(Cl)ccc2c1CCCOc1cc(C)c(Cl)c(C)c1
2412,2adu,c1(c2c[nH]nn2)cc(ccc1)C
8808,4aoc,[C@@H]1(OC)[C@@H](O)[C@@H](O)[C@H](O)[C@H](O1)[C@@H](O)CO
7940,3zmj,O=CC[C@@H](NC(=O)OCC(C)C)c1ccccc1
5656,4l2f,c1c(=O)c2cc(Cl)ccc2oc1c1ccccc1
9837,1kc7,[C-](=O)(=O)C(=O)C[P](=O)(=O)=O
5480,3uvn,[NH3+]CC(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)NCC(=O)N[C@H](C(=O)N[C@H]([C-](=O)=O)Cc1ccc(cc1)O)Cc1ccc(cc1)O)C)CO)CCC[NH]=[C+](=[NH2])=[NH2])C)CO
1699,4pgd,[NH3+][C@H](C(=O)N[C@H](C(=O)N1[C@H](C(=O)NCC(=O)N[C@H](C(=O)N[C@H](C(=O)N2[C@H](C(=O)N[C@H](C(=O)N[C@H]([C-](=O)=O)Cc3ccccc3)C)CCC2)Cc2ccc(cc2)O)CC(=O)N)CCC1)C)Cc1ccccc1
9730,4riv,c1cc2S(=O)(=O)N[C@@H](O)c2cc1
7637,3gs7,COc1ccccc1/C=N\OCC[C-](=O)=O
10264,4y8x,C(=O)(/C=C/c1c(ccc(c1)Cl)n1cnnn1)N[C@H](c1nc(Cl)c([nH]1)c1ccc(cc1)NC(=O)OC)Cc1ccccc1
9402,4km2,c1[n]c(N)[n]c(N)c1Cc1cc(OC)c(OC)c(OC)c1
3491,4qtd,O=C(Nc1cc2c(c3cc[n]cc3)[nH]nc2cc1)[C@@H]1CC[N@@H+](C1)CC(=O)N1CCN(CC1)c1ccc(cc1)c1[n]ccc[n]1
6553,2ycf,[NH2]=[C+](=[NH]O)/N=N/[C@@H](C)c1ccc(NC(=O)Nc2ccc(cc2)[C@H](/N=N/[C+](=[NH]O)=[NH2])C)cc1
2618,3as0,N1(c2c3c(cc4OCOc4c3)ccc2c2c(C1)c1OCOc1cc2)C
10936,4pv5,C1C[C@@H](C([C@@H]2CC[C@@]3([C@@H]([C@@]12C)C(=O)C=C1[C@]3(CC[C@@]2([C@H]1C[C@](CC2)([C-](=O)=O)C)C)C)C)(C)C)O
11227,4nh7,[C@H]1(Nc2c(ccc(n3nc(c4c3CC(CC4=O)(C)C)C(F)(F)F)c2)C(=O)N)CC[C@@H](CC1)O
2579,3rey,c1(=O)n(c(=O)n(c2[nH]c(nc12)c1ccc(OCC(=O)NCC[NH3+])cc1)CCC)CCC
6551,2yc3,O=c1n2ncnc2[nH]c(c1Cc1ccccc1)Cl
6822,1ysi,c1c(ccc(c1)c1ccc(cc1)C(=O)NS(=O)(=O)c1cc(c(cc1)NCCSc1ccccc1)N(=O)=O)F
9338,4pow,[C@@H]([C-](=O)=O)(CCC[NH]=[C+](=[NH2])=[NH2])[N@H+]1[C@H](CC[C@H]1O)[C-](=O)=O
11795,4ezx,[NH3+][C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)NC[C-](=O)=O)[C@H](O)C)CC(C)C)CCSC)CC(C)C)CCC[NH]=[C+](=[NH2])=[NH2])CC(=O)N
3290,1h1r,c1([n]c(OCC2CCCCC2)c2nc[nH]c2[n]1)Nc1cc(ccc1)Cl
1577,1ny2,[NH3+][C@H](C(=O)N1[C@H](C(=O)N2[C@H](C(=O)NC[C-](=O)=O)CCC2)CCC1)CCC[NH]=[C+](=[NH2])=[NH2]
10721,1gvw,O=C(OC(C)(C)C)N[C@H](C(=O)N[C@H](C(=O)N[C@@H](CC(C)C)P(=O)(=O)CC(=O)NC[C@H](CC)C)Cc1[nH]cnc1)Cc1ccccc1
10233,3u7n,C(=O)([C@@H](NC(=O)Nc1ccc(C)c[n]1)C(C)C)[C@H](CCCC)CN(O)C=O
773,3pd4,C(=O)(N[C@H]1[C@H]([C@H](n2c3[n]c[n]c(c3nc2)N)O[C@@H]1CO)O)C[NH3+]
4318,4ohm,c1cc(N)[n]cc1S(=O)(=O)N1C[C@H](C#CC)N(CC1)c1ccc(cc1)[C@](C(F)(F)F)(O)CO
2709,2jk9,[NH3+][C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N1[C@H]([C-](=O)=O)CCC1)C)CC(=O)N)CC(=O)N)CC(=O)N)CC(C)C)CC[C-](=O)=O)CC(=O)N
3312,3wf7,[n]1c[n]c(N2CCC(C(=O)Nc3cc(C(F)(F)F)ccc3)CC2)c2[nH]cnc12
7141,4o36,[NH3+][C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H]([C-](=O)=O)CO)C[C-](=O)=O)CCSC)Cc1nc[nH]c1)Cc1[nH]cnc1)CCC(=O)N)CC[C-](=O)=O)Cc1ccccc1)Cc1nc[nH]c1)C)C)C)[C@H](O)C)CC[C-](=O)=O
7270,4gmy,c1(c(cccc1Cl)Cl)C(=O)Nc1cc[n]c(c1)NC(=O)C1CC1
11226,4ngp,O=C(NCCOc1ccccc1C(=O)NCCCC[C@H](NC(=O)N[C@H]([C-](=O)=O)CC[C-](=O)=O)[C-](=O)=O)CCOCCO
2152,4i9o,O=C(CCS)N1CCC(O)(CC1)c1ccc(Cl)c(c1)C(F)(F)F
8355,3wv2,c1ccc2c(c1)c(=O)[nH]c(C(=O)NCc1cccc(c1)OC)n2
9436,2qv7,[P](=O)(=O)(=O)OP(=O)(=O)OC[C@H]1O[C@H]([C@@H]([C@@H]1O)O)n1cnc2c(N)ncnc12
8087,1wug,[NH3+]CCCNc1ccc(cc1N(=O)=O)C
1436,2bks,COc1c(COCCCOc2ccc(N3[C@H](C[NH2+]CC3=O)COc3ccc4c(c3)N(CCC4)CCCO)cc2)cccc1
2399,2a4q,C1(=O)CCCCCCCc2cc(C[C@H](NC(=O)[C@@H](N1)C1CCCCC1)C(=O)N[C@@H](CCC)[C@@H](O)C(=O)NCC(=O)N[C@H](c1ccccc1)[C-](=O)=O)ccc2
8066,2xg3,O=C(N[C@@H]1[C@H]([C@@H](O[C@@H]([C@@H]1O)CO)O[C@H]1[C@@H]([C@H]([C@H](O)O[C@@H]1CO)NC(=O)C)O)O)c1ccccc1
11196,1fao,[C@@H]1(O[P](=O)(=O)=O)[C@H](O)[C@H](O[P](=O)(=O)=O)[C@@H](O[P](=O)(=O)=O)[C@H](O[P](=O)(=O)=O)[C@H]1O
7728,4c0r,C[NH2+][C@H](C(=O)NC[C-](=O)=O)CSSC[C@@H](C(=O)NC[C-](=O)=O)NC(=O)CC[C@@H]([C-](=O)=O)[NH3+]
393,3ncz,[C@H]1(CC[C@@H](CC1)[NH3+])C(=O)Nc1c(cc2c(cc[nH]c2=O)c1)Cl
10955,3iw5,O=C(CSc1cn(CCNC(=O)c2cccc(c2)C(F)(F)F)c2ccccc12)Nc1ccc2OCCOc2c1
2200,4yve,COc1cccc(c1)CC(=O)Nc1nc(cs1)c1cc[n]cc1
3708,1uj0,[NH3+][C@H](C(=O)N1[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)O)CCCC[NH3+])CC(=O)N)CC[C-](=O)=O)CCC[NH]=[C+](=[NH2])=[NH2])CC(=O)N)C(C)C)CCSC)CCC1)[C@H](O)C
8260,5d6p,c1(NC(=O)NCC)sc(c2ccc[nH]2)c(CO)n1
11752,1l6m,O=[C-](=O)c1cccc(c1O)O
481,4y67,O=C(N(O)C)C[C@H](C[P](=O)(=O)=O)CCCc1ccccc1
9640,2wl0,CC([C@@H](C(=O)N[N@H+](CC[C@@](O)(Cc1ccccc1)C(=O)N[C@@H]1[C@H](O)Cc2ccccc12)Cc1ccc(c2[n]cccc2)cc1)NC(=O)OC)(C)C
6187,4iu4,O=[C-](=O)[C@@H]([NH3+])CSC[CH3][B](=[OH])([OH2])[OH2]
8501,2w06,c1c(ccc(S(=O)(=O)NC)c1)Nc1[n]c(cc[n]1)c1n(C2CC2)c(C)nc1
11601,2x91,O=C(N1[C@@H](CCC1)[C-](=O)=O)[C@@H]([NH2+][C@H]([C-](=O)=O)CCc1ccccc1)CCCC[NH3+]
9623,3ime,O=[C-](=O)c1cc2ccccc2o1
4311,3bx5,c1cc(c(cc1C(=O)NC)NC(=O)c1cnc(N[C@H](C)CC)s1)C
2355,4jjf,O1C2N3C(CC(=O)[Fe]3([C]=O)([C]=O)/C/1=N\c1ccc3c(c1)cccc3)C(C)C(C2C)OP(=O)(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1O)n1c2nc(N)nc(O)c2nc1
3096,2qyl,c1(ccc(c2cc3ccc[n]c3c([n]2)c2cc(ccc2)N(=O)=O)cc1)[C-](=O)=O
9008,1pxm,Oc1cc(ccc1)Nc1[n]ccc([n]1)c1c(C)nc(s1)C
10702,3efs,[P](=O)(=O)(=O)OP(=O)(=O)OP(=O)(=O)OC[C@H]1O[C@H]([C@@H]([C@@H]1O)O)n1cnc2c(N)ncnc12
3485,4qt0,O=[C-](=O)c1cccc(c1)Nc1c(C(=O)N)c[n]c2c1ccc(c2)c1c[n]c(OC)[n]c1OC
1420,2bb7,O=S(=O)(C)Nc1cccc2c1[n]ccc2
9932,4f9u,COc1ccc(cc1OC)N/C(=N/CCCn1ccnc1)/S
5285,2x4t,[NH3+][C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)NC[C@H]([C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H]([C-](=O)=O)C(C)C)[C@H](O)C)C)C(C)C)CCSC)O)O)C(C)C)CC(C)C)CC(=O)N
8911,2y1x,n1(c(cc(n1)C(F)(F)F)c1nnc(o1)c1cccc2c1cc[nH]2)c1cccc(c1)CNC(=O)[C@@H]([NH3+])C
10880,2we3,n1(c(=O)[nH]c(=O)cc1)[C@H]1C[C@@H]([C@H](O1)COP(=O)(=O)OP(=O)(=O)O[P](=O)(=O)=O)O
1406,4nj3,[n]1c(cc(c2c1ccc(c2)c1cc(ccc1)Cl)[C-](=O)=O)C(=O)N[C@@H](Cc1ccc(cc1)O)C(=O)OC
7763,4k43,O=CN(C)/C=C/C[C@@H](OC)[C@@H](C)C(=O)CC[C@H](C)[C@H](OC)[C@H](C)[C@@H]1[C@@H](C)CO[C@@H](O1)c1ccc(cc1)OC
5474,3ur9,COC(=O)N[C@H](C(=O)N[C@H](CO)C[C@@H]1CCNC1=O)CC(C)C
1253,4ge7,c1ccccc1Oc1ccc2c(c1)cc(c(=O)n2O)NCc1c(cnc(C)c1O)CO[P](=O)(=O)=O
1652,2x85,[C@@H]1([C@@H]([C@@H]([C@H]([C@H](C)O1)O)O)O)OC[C@@H]1[C@H]([C@@H]([C@H]([C@H](O1)O[C@@H]1[C@@H]([C@H]([C@H](O[C@@H]1CO)O[C@@H]1[C@H]([C@H](O)O[C@@H]([C@H]1O)CO[C@@H]1[C@@H]([C@H]([C@@H]([C@@H](CO)O1)O)O)O)NC(=O)C)O)O[C@H]1[C@@H]([C@H]([C@@H]([C@@H](CO)O1)O)O)NC(=O)C)O)O)O
